"stap_s","stap_t","gs","distance","ws","start","end","duration","n"
3,4,15.820560952977-29.2263423405332i,251.344358958433,-7.28750797885551-7.01884076722807i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,16.7159257917309-79.9229814571037i,588.143500581442,-7.05557997717504-9.41668852399859i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,24.791106426369-51.3156613635435i,416.928346977488,-2.82210590423572-8.75837239444735i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,29.2227936675913-29.4688833852177i,309.329956162439,-9.317934873746-10.957477718656i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,17.6318539842162-13.9973435034229i,176.95230527081,-8.61462598401171-4.92380264733983i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
3,4,21.3064086302301-41.8928420932849i,346.967071923043,-6.8077287890896-15.5062958712803i,2021-09-23 23:41:27,2021-09-24 06:41:27,7,1
4,5,-21.8413249929929-33.8556241095649i,341.267009065307,-5.12941527791129+1.0682094782538i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,-7.246349103349-36.4771891930384i,316.058183937015,-5.73187987163762+0.90296620161946i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,-19.7873511264704-53.169882787607i,471.712421957081,-3.48808168269273+0.674281375216i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,23.1608010450758-17.7139592868205i,252.738259097259,-5.71336236488155-4.62766416597279i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,-19.7433791185415-50.3971036761967i,451.010616071841,-2.94364839307608+1.08157104619387i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,7.3874183300143-47.5965390072687i,403.372834786317,-4.67997452802434-0.70788609753068i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,-31.8918600489876-36.6576678669674i,407.734059353763,-4.86339046836622+1.36535526498561i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,-12.4281168130505-61.5223738095141i,519.451858218794,-3.91147067012543-0.25036998117565i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
4,5,-12.3871304391726-58.7430844801539i,497.728259108547,-5.17742458453498-0.69086844693778i,2021-09-24 10:41:27,2021-09-24 18:41:27,8,1
